Gene	B cells	CD4 Naive	CD4 Memory	CD8 Naive	CD8 Memory	CD8 Effector	Treg cell	Th cell	Monocytes CD16	Monocytes CD14	DC	pDC	NK	Plasma
MATK	2.53869313576802	2.92193813130957	5.51347687353706	6.89132162516842	38.6473202925006	73.3778687953546	12.1588528574277	10.1983639545873	0.922217991586325	1.10853022727274	2.52590955519269	0.860651440567933	174.468394842629	0.755288875650432
NKG7	90.9985034368572	103.70718206033	158.411197343608	108.926102441173	1491.40728197607	11231.6490620256	35.4365207686644	53.8706757729554	125.548457558176	233.551752037363	223.033832473505	232.716672450977	22192.2184156297	62.2837715618846
PLAC8	359.190310540343	156.972158429069	124.272661458006	134.054241833326	109.361448167292	249.185404626153	49.317440542575	82.6334945948349	145.230361473179	204.602470766258	170.424162096758	1394.94082603015	964.948484421406	115.557876659136
PLEKHF1	2.59984839930389	8.79472214478662	15.4802951322032	4.7967533600365	16.5501424188365	47.5192081644852	22.1563964026521	21.5457548533713	0.889804418962053	1.1805543272077	7.32737244283184	2.94903251675379	132.669830586576	4.04019180133596
PRF1	6.08840700519889	12.3214935678958	17.362534433522	10.8459116788721	44.7020050455622	346.686817564369	8.77750877863434	8.07694223044867	5.28661359990199	6.69642874590433	7.40501070934918	15.8341756667221	1713.97493228501	7.9902590701497
PTGDR	0.791433460936473	1.34595888535262	1.64213825313329	0.393771233393276	15.3089219330285	26.2728268150451	1.39703864218739	1.27024467228899	0.742523602842112	0.957744617465894	1.2007565228629	0	109.020304453513	0
PTGDS	0.929629887136509	0.657775535581543	2.64503364810894	1.00816794360259	3.76767184714379	7.76583301605541	2.86807807208663	2.66773786892971	0.832905255182802	1.70932156497933	0.730751372032892	2894.85999679355	189.700449577804	0
RAMP1	0.693578139873113	1.70667708011728	1.15742624091386	0.515867468946231	1.14781672972873	4.9744372200754	3.73252190842724	5.35999078296183	0.284327576608791	1.18330240984328	3.94448109554754	12.2978099096794	205.443920869728	0
RAP1B	52.6747376476221	69.3865757589611	69.4295152477066	77.9606624518187	74.8797181816566	166.81865639327	51.2522587616685	49.7347470103966	43.7757758508543	150.520391272706	49.6302494039078	54.2047833862822	314.554202004626	75.5984962080765
RHOC	20.8825956136292	9.88755760141747	24.8187614477808	6.96511269024989	30.6721501808385	72.3513922544921	20.858192596589	11.613803738895	21.9570979195156	386.434641405703	69.5666041689726	60.7110383861775	241.571371904677	2.25562562300634
RPLP0	2850.98472198875	3058.82672555865	3024.40094486871	3292.24812173667	3069.44824653305	2250.06561331675	3417.78365031811	3637.4665993509	1322.82196965054	1071.73299118201	2257.97928519801	3525.34785782989	1579.68760261776	4197.72385387648
RPS4X	5493.35929845399	6143.45186829374	5640.08302486824	6450.40074239691	6033.65918815398	4969.43599502433	9100.91675158594	10026.4596491832	3491.57313674607	3012.07277707253	4082.15067802835	6653.73358370766	3540.36616409681	6105.68846469142
RPS9	3217.16165198041	2984.95441764364	2684.86870292454	3214.67629671545	2736.03505484098	2084.33548276452	3732.39669206182	4123.81276752887	2989.0529941798	2665.31687083	3087.51489366655	3292.37322925607	1729.2986639247	2627.25883074343
SPON2	1.59905800883262	2.44531338096772	3.11081992055238	2.83345595541368	5.39220419106156	26.3962342812546	2.40693338470099	1.1336701601136	1.6484116328399	1.95659633469948	2.09349598631865	7.38055880731028	286.750601261692	2.7458085455582
SPTSSB	0	0	0.0505245442839148	0	0.133942580714257	0	0.428789755960688	0.894986342016941	0	0	0.237983528233753	0	20.5061768099753	0
TBX21	1.43016207775831	1.00503709481454	2.70048641299237	0.98781184280156	8.12718282103431	43.234059959379	1.9328172861156	0.882861816286412	1.10661178690108	1.31376922972941	1.54662490948085	0.630130415893904	109.640804233566	0
TFDP2	2.44404294106902	1.733809182351	1.27371192273764	1.5276732931327	1.34090159281079	3.97875393367552	0.472180773165377	1.22649602468192	0.559293649473288	1.4369610978394	1.36008632220303	2.58938209595951	11.0113845832431	0.382776293427764
